#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
ec.internal.sanguinite                            ([no block])                                                                     = ÓüÑ×½¬Òº
ec.internal.cleanshadow_iron                      ([no block])                                                                     = ´¿¾»°µÓ°Ìú½¬Òº
ec.internal.shadow_iron                           ([no block])                                                                     = °µÓ°Ìú½¬Òº
ec.internal.cleanvulcanite                        ([no block])                                                                     = ´¿¾»ÈÛÑÒ½á¾§½¬Òº
ec.internal.vulcanite                             ([no block])                                                                     = ÈÛÑÒ½á¾§½¬Òº
ec.internal.cleanvyroxeres                        ([no block])                                                                     = ´¿¾»ÓÄÚ¤¾ç¶¾¾§½¬Òº
ec.internal.vyroxeres                             ([no block])                                                                     = ÓÄÚ¤¾ç¶¾¾§½¬Òº
ec.internal.cleantiberium                         ([no block])                                                                     = ´¿¾»Ì©²®ÀûÑÇ½¬Òº
ec.internal.tiberium                              ([no block])                                                                     = Ì©²®ÀûÑÇ½¬Òº
ec.internal.cleanaurorium                         ([no block])                                                                     = ´¿¾»¼«¹â½ğÊô½¬Òº
ec.internal.aurorium                              ([no block])                                                                     = ¼«¹â½ğÊô½¬Òº
ec.internal.cleanduranite                         ([no block])                                                                     = ´¿¾»¶ÅÀ¼ÌØ½¬Òº
ec.internal.duranite                              ([no block])                                                                     = ¶ÅÀ¼ÌØ½¬Òº
ec.internal.cleanvalyrium                         ([no block])                                                                     = ´¿¾»ÍßÀ×ÀûÑÇ½¬Òº
ec.internal.valyrium                              ([no block])                                                                     = ÍßÀ×ÀûÑÇ½¬Òº
ec.internal.cleanvibranium                        ([no block])                                                                     = ´¿¾»Õñ½ğ½¬Òº
ec.internal.vibranium                             ([no block])                                                                     = Õñ½ğ½¬Òº
ec.internal.cleankarmesine                        ([no block])                                                                     = ´¿¾»ç³ºìÌú½¬Òº
ec.internal.karmesine                             ([no block])                                                                     = ç³ºìÌú½¬Òº
ec.internal.cleanovium                            ([no block])                                                                     = ´¿¾»Å·Î¬Ä·½¬Òº
ec.internal.ovium                                 ([no block])                                                                     = Å·Î¬Ä·½¬Òº
ec.internal.cleanjauxum                           ([no block])                                                                     = ´¿¾»ÈôÊÏÌú½¬Òº
ec.internal.jauxum                                ([no block])                                                                     = ÈôÊÏÌú½¬Òº
ec.internal.cleanuru                              ([no block])                                                                     = ´¿¾»Îí½ğ½¬Òº
ec.internal.uru                                   ([no block])                                                                     = Îí½ğ½¬Òº
ec.internal.cleanosram                            ([no block])                                                                     = ´¿¾»ÈÛ¾§½¬Òº
ec.internal.osram                                 ([no block])                                                                     = ÈÛ¾§½¬Òº
ec.internal.cleaneezo                             ([no block])                                                                     = ´¿¾»ÁãËØ½¬Òº
ec.internal.eezo                                  ([no block])                                                                     = ÁãËØ½¬Òº
ec.internal.cleanabyssum                          ([no block])                                                                     = ´¿¾»ÉîÔ¨½ğÊô½¬Òº
ec.internal.abyssum                               ([no block])                                                                     = ÉîÔ¨½ğÊô½¬Òº
ec.internal.cleanvanadium                         ([no block])                                                                     = ´¿¾»·°½¬Òº
ec.internal.vanadium                              ([no block])                                                                     = ·°½¬Òº
ec.internal.cleanbaronyte                         ([no block])                                                                     = ´¿¾»ÁòÌú¼Ø½¬Òº
ec.internal.baronyte                              ([no block])                                                                     = ÁòÌú¼Ø½¬Òº
ec.internal.cleanblazium                          ([no block])                                                                     = ´¿¾»Ğé¿Õ½¬Òº
ec.internal.blazium                               ([no block])                                                                     = Ğé¿Õ½¬Òº
ec.internal.cleanelecanium                        ([no block])                                                                     = ´¿¾»îÑ½¬Òº
ec.internal.elecanium                             ([no block])                                                                     = îÑ½¬Òº
ec.internal.cleanemberstone                       ([no block])                                                                     = ´¿¾»Óà½ı½¬Òº
ec.internal.emberstone                            ([no block])                                                                     = Óà½ı½¬Òº
ec.internal.cleanghastly                          ([no block])                                                                     = ´¿¾»ÒõÉ­½¬Òº
ec.internal.ghastly                               ([no block])                                                                     = ÒõÉ­½¬Òº
ec.internal.cleanghoulish                         ([no block])                                                                     = ´¿¾»¿Ö¾å½¬Òº
ec.internal.ghoulish                              ([no block])                                                                     = ¿Ö¾å½¬Òº
ec.internal.cleanlimonite                         ([no block])                                                                     = ´¿¾»ºÖÌú½¬Òº
ec.internal.limonite                              ([no block])                                                                     = ºÖÌú½¬Òº
ec.internal.cleanlyon                             ([no block])                                                                     = ´¿¾»¸ÖÌú½¬Òº
ec.internal.lyon                                  ([no block])                                                                     = ¸ÖÌú½¬Òº
ec.internal.cleanmystite                          ([no block])                                                                     = ´¿¾»ÉñÃØ½¬Òº
ec.internal.mystite                               ([no block])                                                                     = ÉñÃØ½¬Òº
ec.internal.cleanrosite                           ([no block])                                                                     = ´¿¾»ÁòÍ­Ìà½¬Òº
ec.internal.rosite                                ([no block])                                                                     = ÁòÍ­Ìà½¬Òº
ec.internal.cleanshyrestone                       ([no block])                                                                     = ´¿¾»Èû¶ûÈğÊ¯½¬Òº
ec.internal.shyrestone                            ([no block])                                                                     = Èû¶ûÈğÊ¯½¬Òº
ec.internal.cleanvarsium                          ([no block])                                                                     = ´¿¾»Ã¾½¬Òº
ec.internal.varsium                               ([no block])                                                                     = Ã¾½¬Òº
ec.internal.cleantritanium                        ([no block])                                                                     = ´¿¾»ÈıîÑ½¬Òº
ec.internal.tritanium                             ([no block])                                                                     = ÈıîÑ½¬Òº
ec.internal.cleanlutetium                         ([no block])                                                                     = ´¿¾»ïå½¬Òº
ec.internal.lutetium                              ([no block])                                                                     = ïå½¬Òº
ec.internal.slurrycleanabyssalnite                ([no block])                                                                     = ´¿¾»µÄÔ¨ËØ½¬Òº
ec.internal.slurrycleanadamantium                 ([no block])                                                                     = ´¿¾»µÄ°¬µÂÂüºÏ½ğ½¬Òº
ec.internal.slurrycleanadeninite                  ([no block])                                                                     = ´¿¾»µÄÏÙàÑßÊ¾§½¬Òº
ec.internal.slurrycleanaeonsteel                  ([no block])                                                                     = ´¿¾»µÄºã¸Ö½¬Òº
ec.internal.slurrycleanaeroite                    ([no block])                                                                     = ´¿¾»µÄÔÆ¸¡½¬Òº
ec.internal.slurrycleanaetherium                  ([no block])                                                                     = ´¿¾»µÄÒÔÌ«½¬Òº
ec.internal.slurrycleanalubrass                   ([no block])                                                                     = ´¿¾»µÄÂÁ»ÆÍ­½¬Òº
ec.internal.slurrycleanaluminium                  ([no block])                                                                     = ´¿¾»µÄÂÁ½¬Òº
ec.internal.slurrycleanalumite                    ([no block])                                                                     = ´¿¾»µÄÄÍËáÂÁ½¬Òº
ec.internal.slurrycleanantimony                   ([no block])                                                                     = ´¿¾»µÄÌà½¬Òº
ec.internal.slurrycleanapalachia                  ([no block])                                                                     = ´¿¾»µÄ°¢ÅÁÀ­ÆõÑÇ½¬Òº
ec.internal.slurrycleanaqualite                   ([no block])                                                                     = ´¿¾»µÄË®»ª½¬Òº
ec.internal.slurrycleanardite                     ([no block])                                                                     = ´¿¾»µÄ°¢µÏÌØ½¬Òº
ec.internal.slurrycleanarlemite                   ([no block])                                                                     = ´¿¾»µÄ°¢ÀÕÃ×ÌØ½¬Òº
ec.internal.slurrycleanasgardium                  ([no block])                                                                     = ´¿¾»µÄÉñ½ğ½¬Òº
ec.internal.slurrycleanastralstarmetal            ([no block])                                                                     = ´¿¾»µÄĞÇ»Ô½¬Òº
ec.internal.slurrycleanaurorianite                ([no block])                                                                     = ´¿¾»µÄ¼«¹â½¬Òº
ec.internal.slurrycleanblackiron                  ([no block])                                                                     = ´¿¾»µÄBlackiron½¬Òº
ec.internal.slurrycleanbnightium                  ([no block])                                                                     = ´¿¾»µÄÒ¹Ã÷½¬Òº
ec.internal.slurrycleanboron                      ([no block])                                                                     = ´¿¾»µÄÅğ½¬Òº
ec.internal.slurrycleanbreakium                   ([no block])                                                                     = ´¿¾»µÄ¶Ï½ğ½¬Òº
ec.internal.slurrycleanbronze                     ([no block])                                                                     = ´¿¾»µÄÇàÍ­½¬Òº
ec.internal.slurrycleancaesium                    ([no block])                                                                     = ´¿¾»µÄï¤½¬Òº
ec.internal.slurrycleancanopium                   ([no block])                                                                     = ´¿¾»µÄ²Ôñ·½¬Òº
ec.internal.slurrycleancarbon                     ([no block])                                                                     = ´¿¾»µÄÌ¼½¬Òº
ec.internal.slurrycleancerulean                   ([no block])                                                                     = ´¿¾»µÄCerulean½¬Òº
ec.internal.slurrycleanchillinium                 ([no block])                                                                     = ´¿¾»µÄº®ĞÄÌú½¬Òº
ec.internal.slurrycleanchromasteel                ([no block])                                                                     = ´¿¾»µÄìÅ¸Ö½¬Òº
ec.internal.slurrycleanchromium                   ([no block])                                                                     = ´¿¾»µÄ¸õ½¬Òº
ec.internal.slurrycleancirclium                   ([no block])                                                                     = ´¿¾»µÄ»·½ğ½¬Òº
ec.internal.slurrycleancloudite                   ([no block])                                                                     = ´¿¾»µÄÔÆÒø½¬Òº
ec.internal.slurrycleancobalt                     ([no block])                                                                     = ´¿¾»µÄîÜ½¬Òº
ec.internal.slurrycleanconductiveiron             ([no block])                                                                     = ´¿¾»µÄµ¼µçÌú½¬Òº
ec.internal.slurrycleancosmilite                  ([no block])                                                                     = ´¿¾»µÄå¾Óî½¬Òº
ec.internal.slurrycleancrimsonite                 ([no block])                                                                     = ´¿¾»µÄĞÉºì½¬Òº
ec.internal.slurrycleancryonium                   ([no block])                                                                     = ´¿¾»µÄ¼«º®½¬Òº
ec.internal.slurrycleancrystal                    ([no block])                                                                     = ´¿¾»µÄCrystal½¬Òº
ec.internal.slurrycleancrystalline                ([no block])                                                                     = ´¿¾»µÄÔÂÄı¾§½¬Òº
ec.internal.slurrycleancthulhurite                ([no block])                                                                     = ´¿¾»µÄ¿ËËÕÂ³½¬Òº
ec.internal.slurrycleancytosinite                 ([no block])                                                                     = ´¿¾»µÄ°ûà×½¬Òº
ec.internal.slurrycleandarkiron                   ([no block])                                                                     = ´¿¾»µÄĞşÌú½¬Òº
ec.internal.slurrycleandawnium                    ([no block])                                                                     = ´¿¾»µÄÔÉÁé½ğ½¬Òº
ec.internal.slurrycleandaynight                   ([no block])                                                                     = ´¿¾»µÄDaynight½¬Òº
ec.internal.slurrycleandesh                       ([no block])                                                                     = ´¿¾»µÄ´÷Ë¹½¬Òº
ec.internal.slurrycleandilithium                  ([no block])                                                                     = ´¿¾»µÄË«ï®½¬Òº
ec.internal.slurrycleandimesium                   ([no block])                                                                     = ´¿¾»µÄÎ¬¶È½ğÊô½¬Òº
ec.internal.slurrycleandraconium                  ([no block])                                                                     = ´¿¾»µÄÁú½¬Òº
ec.internal.slurrycleandraconiumawakened          ([no block])                                                                     = ´¿¾»µÄ¾õĞÑÁú½¬Òº
ec.internal.slurrycleandreadium                   ([no block])                                                                     = ´¿¾»µÄ¾åÖÊ½¬Òº
ec.internal.slurrycleandullium                    ([no block])                                                                     = ´¿¾»µÄDullium½¬Òº
ec.internal.slurrycleandurasteel                  ([no block])                                                                     = ´¿¾»µÄÄÍ¸Ö½¬Òº
ec.internal.slurrycleaneden                       ([no block])                                                                     = ´¿¾»µÄÒÁµé½¬Òº
ec.internal.slurrycleanelementium                 ([no block])                                                                     = ´¿¾»µÄÔ´ÖÊ¸Ö½¬Òº
ec.internal.slurrycleanelfsteel                   ([no block])                                                                     = ´¿¾»µÄ¾«Áé¸Ö½¬Òº
ec.internal.slurrycleanethaxium                   ([no block])                                                                     = ´¿¾»µÄÒÁÉ£Ë¹½¬Òº
ec.internal.slurrycleanexperience                 ([no block])                                                                     = ´¿¾»µÄÖªÊ¶¾«»ª½¬Òº
ec.internal.slurrycleanfalsite                    ([no block])                                                                     = ´¿¾»µÄFalsite½¬Òº
ec.internal.slurrycleanfenzium                    ([no block])                                                                     = ´¿¾»µÄ·á½ğ½¬Òº
ec.internal.slurrycleanfierymetal                 ([no block])                                                                     = ´¿¾»µÄ³ãÌú½¬Òº
ec.internal.slurrycleanfrancium                   ([no block])                                                                     = ´¿¾»µÄîÕ½¬Òº
ec.internal.slurrycleanfreezite                   ([no block])                                                                     = ´¿¾»µÄ·â¾§½¬Òº
ec.internal.slurrycleanfusionmatrix               ([no block])                                                                     = ´¿¾»µÄ¾ÛºÏ¾ØÕó½¬Òº
ec.internal.slurrycleangaiasteel                  ([no block])                                                                     = ´¿¾»µÄ¸ÇÑÇ¸Ö½¬Òº
ec.internal.slurrycleangallium                    ([no block])                                                                     = ´¿¾»µÄïØ½¬Òº
ec.internal.slurrycleanguaninite                  ([no block])                                                                     = ´¿¾»µÄÄñàÑßÊ¾§½¬Òº
ec.internal.slurrycleanharcadium                  ([no block])                                                                     = ´¿¾»µÄÄ©¾§½¬Òº
ec.internal.slurrycleanhorizonite                 ([no block])                                                                     = ´¿¾»µÄHorizonite½¬Òº
ec.internal.slurrycleaniciricium                  ([no block])                                                                     = ´¿¾»µÄ±ùÎÆ½ğ½¬Òº
ec.internal.slurrycleanindium                     ([no block])                                                                     = ´¿¾»µÄî÷½¬Òº
ec.internal.slurrycleaninferium                   ([no block])                                                                     = ´¿¾»µÄÏÂ¼¶¾«»ª½¬Òº
ec.internal.slurrycleaninfernium                  ([no block])                                                                     = ´¿¾»µÄÓÀÈ¼½¬Òº
ec.internal.slurrycleaninsanium                   ([no block])                                                                     = ´¿¾»µÄ¾¿¼«¾«»ª½¬Òº
ec.internal.slurrycleanintermedium                ([no block])                                                                     = ´¿¾»µÄÖĞ¼¶¾«»ª½¬Òº
ec.internal.slurrycleaniridium                    ([no block])                                                                     = ´¿¾»µÄÒ¿½¬Òº
ec.internal.slurrycleanknightmetal                ([no block])                                                                     = ´¿¾»µÄÆïÊ¿½ğÊô½¬Òº
ec.internal.slurrycleanlavarite                   ([no block])                                                                     = ´¿¾»µÄÈÛ½¬½¬Òº
ec.internal.slurrycleanlavasolid                  ([no block])                                                                     = ´¿¾»µÄÈÛÑÒ½¬Òº
ec.internal.slurrycleanlighteum                   ([no block])                                                                     = ´¿¾»µÄÃ÷Ìú½¬Òº
ec.internal.slurrycleanliquifiedcoralium          ([no block])                                                                     = ´¿¾»µÄ¾«Á¶Éºº÷½¬Òº
ec.internal.slurrycleanlithium                    ([no block])                                                                     = ´¿¾»µÄï®½¬Òº
ec.internal.slurrycleanlosessium                  ([no block])                                                                     = ´¿¾»µÄ²ĞÄî½ğÊô½¬Òº
ec.internal.slurrycleanmagnesium                  ([no block])                                                                     = ´¿¾»µÄÃ¾½¬Òº
ec.internal.slurrycleanmanarium                   ([no block])                                                                     = ´¿¾»µÄÄ§½ğ½¬Òº
ec.internal.slurrycleanmanasteel                  ([no block])                                                                     = ´¿¾»µÄÄ§Á¦¸Ö½¬Òº
ec.internal.slurrycleanmanganese                  ([no block])                                                                     = ´¿¾»µÄÃÌ½¬Òº
ec.internal.slurrycleanmangisite                  ([no block])                                                                     = ´¿¾»µÄÂüÇĞË¹ÌØ½¬Òº
ec.internal.slurrycleanmanyullyn                  ([no block])                                                                     = ´¿¾»µÄÂêÓñÁé½¬Òº
ec.internal.slurrycleanmercury                    ([no block])                                                                     = ´¿¾»µÄ¹¯½¬Òº
ec.internal.slurrycleanmeteor                     ([no block])                                                                     = ´¿¾»µÄÔÉĞÇ½¬Òº
ec.internal.slurrycleanmeteoriciron               ([no block])                                                                     = ´¿¾»µÄÔÉÌú½¬Òº
ec.internal.slurrycleanmirion                     ([no block])                                                                     = ´¿¾»µÄÔÌÄ§½á¾§½¬Òº
ec.internal.slurrycleanmistium                    ([no block])                                                                     = ´¿¾»µÄçÎç¿½¬Òº
ec.internal.slurrycleanmithril                    ([no block])                                                                     = ´¿¾»µÄÃØÒø½¬Òº
ec.internal.slurrycleanmolybdenum                 ([no block])                                                                     = ´¿¾»µÄîâ½¬Òº
ec.internal.slurrycleanmoonstone                  ([no block])                                                                     = ´¿¾»µÄÔÂ¹âÊ¯½¬Òº
ec.internal.slurrycleanmortum                     ([no block])                                                                     = ´¿¾»µÄºÚ½ğ½¬Òº
ec.internal.slurrycleanmythsteel                  ([no block])                                                                     = ´¿¾»µÄMythsteel½¬Òº
ec.internal.slurrycleannickel                     ([no block])                                                                     = ´¿¾»µÄÄø½¬Òº
ec.internal.slurrycleanniobium                    ([no block])                                                                     = ´¿¾»µÄîê½¬Òº
ec.internal.slurrycleanoceanium                   ([no block])                                                                     = ´¿¾»µÄºÆå«½¬Òº
ec.internal.slurrycleanoctine                     ([no block])                                                                     = ´¿¾»µÄOctine½¬Òº
ec.internal.slurrycleanoneo                       ([no block])                                                                     = ´¿¾»µÄÒ¼ËØ½¬Òº
ec.internal.slurrycleanorichalcos                 ([no block])                                                                     = ´¿¾»µÄ°ÂÀû¹ş¸Õ½¬Òº
ec.internal.slurrycleanosgloglas                  ([no block])                                                                     = ´¿¾»µÄï°Ó«ºÚê×ºÏ½ğ½¬Òº
ec.internal.slurrycleanosmiridium                 ([no block])                                                                     = ´¿¾»µÄÒ¿ï°ºÏ½ğ½¬Òº
ec.internal.slurrycleanpalladium                  ([no block])                                                                     = ´¿¾»µÄîÙ½¬Òº
ec.internal.slurrycleanplasmarite                 ([no block])                                                                     = ´¿¾»µÄµÈÀë×Ó½¬Òº
ec.internal.slurrycleanplatinum                   ([no block])                                                                     = ´¿¾»µÄ²¬½¬Òº
ec.internal.slurrycleanprudentium                 ([no block])                                                                     = ´¿¾»µÄ³õ¼¶¾«»ª½¬Òº
ec.internal.slurrycleanrapesesium                 ([no block])                                                                     = ´¿¾»µÄÀ­ÆÕÎ÷Ë¹½¬Òº
ec.internal.slurrycleanrealmite                   ([no block])                                                                     = ´¿¾»µÄÅµÃ×ÌØ½¬Òº
ec.internal.slurrycleanrubidium                   ([no block])                                                                     = ´¿¾»µÄï¨½¬Òº
ec.internal.slurrycleanrupee                      ([no block])                                                                     = ´¿¾»µÄÂ¬±È½¬Òº
ec.internal.slurrycleansanite                     ([no block])                                                                     = ´¿¾»µÄÁéÉñ¸Ö½¬Òº
ec.internal.slurrycleanshadowbar                  ([no block])                                                                     = ´¿¾»µÄÒõÓ°½¬Òº
ec.internal.slurrycleanshadowium                  ([no block])                                                                     = ´¿¾»µÄ°µÓ°½¬Òº
ec.internal.slurrycleansissidium                  ([no block])                                                                     = ´¿¾»µÄÏ£Ë¹µÙÄ·½¬Òº
ec.internal.slurrycleanskythern                   ([no block])                                                                     = ´¿¾»µÄ±ù´Ì½¬Òº
ec.internal.slurrycleansnowingium                 ([no block])                                                                     = ´¿¾»µÄËéÑ©½¬Òº
ec.internal.slurrycleansodium                     ([no block])                                                                     = ´¿¾»µÄÄÆ½¬Òº
ec.internal.slurrycleansoilium                    ([no block])                                                                     = ´¿¾»µÄË÷ÀïÄ·½¬Òº
ec.internal.slurrycleanstainlesssteel             ([no block])                                                                     = ´¿¾»µÄ²»Ğâ¸Ö½¬Òº
ec.internal.slurrycleanstripium                   ([no block])                                                                     = ´¿¾»µÄÎÆ½ğ½¬Òº
ec.internal.slurrycleansuperium                   ([no block])                                                                     = ´¿¾»µÄ¸ß¼¶¾«»ª½¬Òº
ec.internal.slurrycleansupremium                  ([no block])                                                                     = ´¿¾»µÄÖÕ¼«¾«»ª½¬Òº
ec.internal.slurrycleanswinium                    ([no block])                                                                     = ´¿¾»µÄ»ÔÍ­½¬Òº
ec.internal.slurrycleansyrmorite                  ([no block])                                                                     = ´¿¾»µÄSyrmorite½¬Òº
ec.internal.slurrycleantechnetium                 ([no block])                                                                     = ´¿¾»µÄï½½¬Òº
ec.internal.slurrycleanterrasteel                 ([no block])                                                                     = ´¿¾»µÄÌ©À­¸Ö½¬Òº
ec.internal.slurrycleanthorium                    ([no block])                                                                     = ´¿¾»µÄîÊ½¬Òº
ec.internal.slurrycleanthyminite                  ([no block])                                                                     = ´¿¾»µÄĞØÏÙà×½¬Òº
ec.internal.slurrycleantitanium                   ([no block])                                                                     = ´¿¾»µÄîÑ½¬Òº
ec.internal.slurrycleantogrium                    ([no block])                                                                     = ´¿¾»µÄÍĞ¸ñÄ·½¬Òº
ec.internal.slurrycleanttwo                       ([no block])                                                                     = ´¿¾»µÄ·¡ËØ½¬Òº
ec.internal.slurrycleantungsten                   ([no block])                                                                     = ´¿¾»µÄÎÙ½¬Òº
ec.internal.slurrycleanumbra                      ([no block])                                                                     = ´¿¾»µÄ±¾Ó°½¬Òº
ec.internal.slurrycleanumbrium                    ([no block])                                                                     = ´¿¾»µÄÓ°ËØ½¬Òº
ec.internal.slurrycleanuranium                    ([no block])                                                                     = ´¿¾»µÄÓË½¬Òº
ec.internal.slurrycleanvanadium                   ([no block])                                                                     = ´¿¾»µÄ·°½¬Òº
ec.internal.slurrycleanventium                    ([no block])                                                                     = ´¿¾»µÄVentium½¬Òº
ec.internal.slurrycleanvoidessence                ([no block])                                                                     = ´¿¾»µÄĞé¿Õ¾«»ª½¬Òº
ec.internal.slurrycleanwildwood                   ([no block])                                                                     = ´¿¾»µÄÔ­Ê¼½¬Òº
ec.internal.slurrycleanwitherium                  ([no block])                                                                     = ´¿¾»µÄµòÁé½¬Òº
ec.internal.slurrycleanxenidium                   ([no block])                                                                     = ´¿¾»µÄĞşÒø½¬Òº
ec.internal.slurrycleanyoggleseum                 ([no block])                                                                     = ´¿¾»µÄÔ¼¸ñË¹½¬Òº
ec.internal.slurrycleanzinc                       ([no block])                                                                     = ´¿¾»µÄĞ¿½¬Òº
ec.internal.slurryabyssalnite                     ([no block])                                                                     = Ô¨ËØ½¬Òº
ec.internal.slurryadamantium                      ([no block])                                                                     = °¬µÂÂüºÏ½ğ½¬Òº
ec.internal.slurryadeninite                       ([no block])                                                                     = ÏÙàÑßÊ¾§½¬Òº
ec.internal.slurryaeonsteel                       ([no block])                                                                     = ºã¸Ö½¬Òº
ec.internal.slurryaeroite                         ([no block])                                                                     = ÔÆ¸¡½¬Òº
ec.internal.slurryaetherium                       ([no block])                                                                     = ÒÔÌ«½¬Òº
ec.internal.slurryalubrass                        ([no block])                                                                     = ÂÁ»ÆÍ­½¬Òº
ec.internal.slurryaluminium                       ([no block])                                                                     = ÂÁ½¬Òº
ec.internal.slurryalumite                         ([no block])                                                                     = ÄÍËáÂÁ½¬Òº
ec.internal.slurryantimony                        ([no block])                                                                     = Ìà½¬Òº
ec.internal.slurryapalachia                       ([no block])                                                                     = °¢ÅÁÀ­ÆõÑÇ½¬Òº
ec.internal.slurryaqualite                        ([no block])                                                                     = Ë®»ª½¬Òº
ec.internal.slurryardite                          ([no block])                                                                     = °¢µÏÌØ½¬Òº
ec.internal.slurryarlemite                        ([no block])                                                                     = °¢ÀÕÃ×ÌØ½¬Òº
ec.internal.slurryasgardium                       ([no block])                                                                     = Éñ½ğ½¬Òº
ec.internal.slurryastralstarmetal                 ([no block])                                                                     = ĞÇ»Ô½¬Òº
ec.internal.slurryaurorianite                     ([no block])                                                                     = ¼«¹â½¬Òº
ec.internal.slurryblackiron                       ([no block])                                                                     = Blackiron½¬Òº
ec.internal.slurrybnightium                       ([no block])                                                                     = Ò¹Ã÷½¬Òº
ec.internal.slurryboron                           ([no block])                                                                     = Åğ½¬Òº
ec.internal.slurrybreakium                        ([no block])                                                                     = ¶Ï½ğ½¬Òº
ec.internal.slurrybronze                          ([no block])                                                                     = ÇàÍ­½¬Òº
ec.internal.slurrycaesium                         ([no block])                                                                     = ï¤½¬Òº
ec.internal.slurrycanopium                        ([no block])                                                                     = ²Ôñ·½¬Òº
ec.internal.slurrycarbon                          ([no block])                                                                     = Ì¼½¬Òº
ec.internal.slurrycerulean                        ([no block])                                                                     = Cerulean½¬Òº
ec.internal.slurrychillinium                      ([no block])                                                                     = º®ĞÄÌú½¬Òº
ec.internal.slurrychromasteel                     ([no block])                                                                     = ìÅ¸Ö½¬Òº
ec.internal.slurrychromium                        ([no block])                                                                     = ¸õ½¬Òº
ec.internal.slurrycirclium                        ([no block])                                                                     = »·½ğ½¬Òº
ec.internal.slurrycloudite                        ([no block])                                                                     = ÔÆÒø½¬Òº
ec.internal.slurrycobalt                          ([no block])                                                                     = îÜ½¬Òº
ec.internal.slurryconductiveiron                  ([no block])                                                                     = µ¼µçÌú½¬Òº
ec.internal.slurrycosmilite                       ([no block])                                                                     = å¾Óî½¬Òº
ec.internal.slurrycrimsonite                      ([no block])                                                                     = ĞÉºì½¬Òº
ec.internal.slurrycryonium                        ([no block])                                                                     = ¼«º®½¬Òº
ec.internal.slurrycrystal                         ([no block])                                                                     = Crystal½¬Òº
ec.internal.slurrycrystalline                     ([no block])                                                                     = ÔÂÄı¾§½¬Òº
ec.internal.slurrycthulhurite                     ([no block])                                                                     = ¿ËËÕÂ³½¬Òº
ec.internal.slurrycytosinite                      ([no block])                                                                     = °ûà×½¬Òº
ec.internal.slurrydarkiron                        ([no block])                                                                     = ĞşÌú½¬Òº
ec.internal.slurrydawnium                         ([no block])                                                                     = ÔÉÁé½ğ½¬Òº
ec.internal.slurrydaynight                        ([no block])                                                                     = Daynight½¬Òº
ec.internal.slurrydesh                            ([no block])                                                                     = ´÷Ë¹½¬Òº
ec.internal.slurrydilithium                       ([no block])                                                                     = Ë«ï®½¬Òº
ec.internal.slurrydimesium                        ([no block])                                                                     = Î¬¶È½ğÊô½¬Òº
ec.internal.slurrydraconium                       ([no block])                                                                     = Áú½¬Òº
ec.internal.slurrydraconiumawakened               ([no block])                                                                     = ¾õĞÑÁú½¬Òº
ec.internal.slurrydreadium                        ([no block])                                                                     = ¾åÖÊ½¬Òº
ec.internal.slurrydullium                         ([no block])                                                                     = Dullium½¬Òº
ec.internal.slurrydurasteel                       ([no block])                                                                     = ÄÍ¸Ö½¬Òº
ec.internal.slurryeden                            ([no block])                                                                     = ÒÁµé½¬Òº
ec.internal.slurryelementium                      ([no block])                                                                     = Ô´ÖÊ¸Ö½¬Òº
ec.internal.slurryelfsteel                        ([no block])                                                                     = ¾«Áé¸Ö½¬Òº
ec.internal.slurryethaxium                        ([no block])                                                                     = ÒÁÉ£Ë¹½¬Òº
ec.internal.slurryexperience                      ([no block])                                                                     = ÖªÊ¶¾«»ª½¬Òº
ec.internal.slurryfalsite                         ([no block])                                                                     = Falsite½¬Òº
ec.internal.slurryfenzium                         ([no block])                                                                     = ·á½ğ½¬Òº
ec.internal.slurryfierymetal                      ([no block])                                                                     = ³ãÌú½¬Òº
ec.internal.slurryfrancium                        ([no block])                                                                     = îÕ½¬Òº
ec.internal.slurryfreezite                        ([no block])                                                                     = ·â¾§½¬Òº
ec.internal.slurryfusionmatrix                    ([no block])                                                                     = ¾ÛºÏ¾ØÕó½¬Òº
ec.internal.slurrygaiasteel                       ([no block])                                                                     = ¸ÇÑÇ¸Ö½¬Òº
ec.internal.slurrygallium                         ([no block])                                                                     = ïØ½¬Òº
ec.internal.slurryguaninite                       ([no block])                                                                     = ÄñàÑßÊ¾§½¬Òº
ec.internal.slurryharcadium                       ([no block])                                                                     = Ä©¾§½¬Òº
ec.internal.slurryhorizonite                      ([no block])                                                                     = Horizonite½¬Òº
ec.internal.slurryiciricium                       ([no block])                                                                     = ±ùÎÆ½ğ½¬Òº
ec.internal.slurryindium                          ([no block])                                                                     = î÷½¬Òº
ec.internal.slurryinferium                        ([no block])                                                                     = ÏÂ¼¶¾«»ª½¬Òº
ec.internal.slurryinfernium                       ([no block])                                                                     = ÓÀÈ¼½¬Òº
ec.internal.slurryinsanium                        ([no block])                                                                     = ¾¿¼«¾«»ª½¬Òº
ec.internal.slurryintermedium                     ([no block])                                                                     = ÖĞ¼¶¾«»ª½¬Òº
